153243,AAA,2014,Waterjet for Practice,"[KMEC, Ján - KUČERKA, Daniel - GOMBÁR, Miroslav - BIČEJOVÁ, Ľuba - SOBOTOVÁ, Lýdia - OPEKAROVÁ, Ludmila - STRAKOVÁ, Jarmila - VAGASKÁ, Alena - HRMO, Roman]",Ján Kmec ... [et al.],0
158353,AAA,2015,Abrasive Blast Cleaning and Its Application,"[BREZINOVÁ, Janette - GUZANOVÁ, Anna - DRAGANOVSKÁ, Dagmar]","Janette Brezinová, Anna Guzanová, Dagmar Draganovská",0
160490,AAA,2015,Materiály v súčasnej praxi,"[SPIŠÁK, Emil - KMEC, Ján - MAJERNÍKOVÁ, Janka - KUČERKA, Daniel - GOMBÁR, Miroslav]",Emil Spišák ... [et al.],1
162502,AAA,2015,Corporate management in the conditions of crisis,"[KÁDÁROVÁ, Jaroslava - MARKOVIČ, Jaromír - MIHOK, Jozef]","Jaroslava Kádárová, Jaromír Markovič, Jozef Mihok",0
164440,AAA,2015,Metodológia komplexného hodnotenia zdravotných rizík v priemysle 1,"[LUMNITZER, Ervin - PIŇOSOVÁ, Miriama - HRICOVÁ, Beata]","Ervin Lumnitzer, Miriama Piňosová, Beata Hricová",1
167142,AAA,2015,Technológia vodný lúč,"[KMEC, Ján - SPIŠÁK, Emil - KUČERKA, Daniel - GOMBÁR, Miroslav - PODAŘIL, Martin]",Ján Kmec ... [et al.],0
169825,AAA,2016,Technická bezpečnosť a CAx systémy v letectve,"[ORAVEC, Milan]",Milan Oravec,0
174996,AAA,2016,Korporativnoe upravlenie v usloviach krizisa,"[KÁDÁROVÁ, Jaroslava - MARKOVIČ, Jaromír - LOBANOVÁ, Halina - PERMINOVÁ, Oľga - MIHOK, Jozef]",Jaroslava Kadarova ... [et al.],0
176041,AAA,2016,Energy saving lighting solutions for industry,"[KRÁLIKOVÁ, Ružena - BADIDA, Miroslav - DZURO, Tibor]","Ružena Králiková, Miroslav Badida, Tibor Dzuro",0
176580,AAA,2016,Renovačné technológie v hutníckom a strojárskom priemysle,"[BREZINOVÁ, Janette - VIŇÁŠ, Ján - GUZANOVÁ, Anna - DRAGANOVSKÁ, Dagmar - VRABEĽ, Marek]",Janette Brezinová ... [et al.],0
179659,AAA,2017,Manažérstvo priemyselných havarií - SEVESO 3,"[ORAVEC, Milan - VARGOVÁ, Slavomíra - KOTIANOVÁ, Zuzana - FIC, Marek]",Milan Oravec ... [et al.],0
188433,AAA,2017,Virtual prototyping of machine tools,"[DEMEČ, Peter - SVETLÍK, Jozef]","Peter Demeč, Jozef Svetlík",0
189011,AAA,2017,Sustainable renovation within metallurgical production,"[BREZINOVÁ, Janette - VIŇÁŠ, Ján - MARUSCHAK, Pavlo O. - GUZANOVÁ, Anna - DRAGANOVSKÁ, Dagmar - VRABEĽ, Marek]",Janette Brezinová ... [et al.],0
189831,AAA,2017,"Metal hydride tank cooling at hydrogen absorption into the La0,85Ce0,15Ni5 alloy","[BRESTOVIČ, Tomáš - JASMINSKÁ, Natália - LÁZÁR, Marián]","Tomáš Brestovič, Natália Jasminská, Marián Lázár",0
189916,AAA,2017,Integrated Enterprise Management and Production Quality,"[MIHOK, Jozef - MAJERNÍK, Milan - KÁDÁROVÁ, Jaroslava - JANEKOVÁ, Jaroslava - KOČIŠOVÁ, Michaela - KRIVOSUDSKÁ, Jana - JAHNÁTEK, Andrej - DANISHJOO, Enayat]",Jozef Mihok ... [et al.],0
192043,AAA,2018,Nízkofrekvenčné magnetické polia v pracovnom prostredí,"[ORAVEC, Milan - LIPOVSKÝ, Pavol - ŠMELKO, Miroslav]","Milan Oravec, Pavol Lipovský, Miroslav Šmelko",0
